Date,360ONE,3MINDIA,AARTIIND,AAVA,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ACC,ACE,ACI,ADANIENSOL,ADANIENT,ADANIGREE,ADANIPORT,ADANIPOWER,AEGISCHEM,AETHER,AFFLE,AIAENG,AJANTPHARM,ALKEM,ALKYLAMINE,ALLCARGO,ALOKIND,AMBER,AMBUJACEM,ANANDRATHI,ANGELONE,ANURA,APARIND,APLAPOLLO,APLLTD,APOLLOHOSP,APOLLOTYRE,APTU,ARE&M,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ASTERDM,ASTRAL,ASTRAZE,ATGL,ATUL,AUBANK,AUROPHARMA,AVANTIFEED,AWL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BALAMINE,BALKRISIND,BALRAMCHI,BANDHANBNK,BANKBARODA,BANKINDIA,BATAINDIA,BAYERCROP,BBTC,BDL,BEL,BEML,BERGEPAINT,BHARATFORG,BHARTIARTL,BHEL,BIKAJI,BIOCO,BIRLACORP,BL,BLUEDART,BLUESTARCO,BORORENEW,BOSCHLTD,BPCL,BRIGADE,BRITANNIA,BSE,BSOFT,CAMPU,CAM,CANBK,CANFINHOME,CAPLIPOINT,CARBORUNIV,CASTROLIND,CCL,CDSL,CEATLTD,CELLO,CENTRALBK,CENTURYPLY,CENTURYTEX,CERA,CESC,CGCL,CGPOWER,CHALET,CHAMBLFERT,CHEMPLAST,CHENNPETRO,CHOLAFI,CHOLAHLDNG,CIEINDIA,CIPLA,CLEA,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,CONCORDBIO,COROMANDEL,CRAFTSMA,CREDITACC,CRISIL,CROMPTO,CSBBANK,CUB,CUMMINSIND,CYIENT,DABUR,DALBHARAT,DATAPATT,DCMSHRIRAM,DEEPAKFERT,DEEPAKNTR,DELHIVERY,DEVYANI,DIVISLAB,DIXO,DLF,DMART,DOM,DRREDDY,EASEMYTRIP,ECLERX,EICHERMOT,EIDPARRY,EIHOTEL,ELECO,ELGIEQUIP,EMAMILTD,ENDURANCE,ENGINERSI,EPL,EQUITASBNK,ERI,ESCORT,EXIDEIND,FACT,FDC,FEDERALBNK,FINCABLE,FINEORG,FINPIPE,FIVESTAR,FLUOROCHEM,FORTI,FSL,GAEL,GAIL,GESHIP,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,GL,GMDCLTD,GMMPFAUDLR,GMRINFRA,GNFC,GODFRYPHLP,GODREJCP,GODREJIND,GODREJPROP,GPIL,GPPL,GRANULE,GRAPHITE,GRASIM,GRINDWELL,GRSE,GSFC,GSPL,GUJGASLTD,HAL,HAPPSTMND,HAPPYFORGE,HAVELL,HBLPOWER,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEG,HEROMOTOCO,HFCL,HINDALCO,HINDCOPPER,HINDPETRO,HINDUNILVR,HINDZINC,HOMEFIRST,HONASA,HONAUT,HSCL,HUDCO,IBULHSGFI,ICICIBANK,ICICIGI,ICICIPRULI,IDBI,IDEA,IDFC,IDFCFIRSTB,IEX,IGL,IIFL,INDHOTEL,INDIACEM,INDIAMART,INDIANB,INDIGO,INDIGOPNT,INDUSINDBK,INDUSTOWER,INFY,INOXWIND,INTELLECT,IOB,IOC,IPCALAB,IRB,IRCO,IRCTC,IRFC,ISEC,ITC,ITI,J&KBANK,JAIBALAJI,JBCHEPHARM,JBMA,JINDALSAW,JINDALSTEL,JIOFI,JKCEMENT,JKLAKSHMI,JKPAPER,JMFINANCIL,JSL,JSWENERGY,JSWINFRA,JSWSTEEL,JUBLFOOD,JUBLINGREA,JUBLPHARMA,JUSTDIAL,JWL,JYOTHYLAB,KAJARIACER,KALYANKJIL,KANSAINER,KARURVYSYA,KAYNE,KEC,KEI,KFINTECH,KIM,KNRCO,KOTAKBANK,KPIL,KPITTECH,KPRMILL,KRBL,KSB,L&TFH,LALPATHLAB,LATENTVIEW,LAURUSLAB,LEMONTREE,LICHSGFI,LICI,LINDEINDIA,LLOYDSME,LODHA,LT,LTIM,LTT,LUPI,LXCHEM,M&M,M&MFI,MAHABANK,MAHLIFE,MAHSEAMLE,MANAPPURAM,MANKIND,MANYAVAR,MAPMYINDIA,MARICO,MARUTI,MASTEK,MAXHEALTH,MAZDOCK,MCDOWELL-,MCX,MEDANTA,MEDPLU,METROBRAND,METROPOLI,MFSL,MGL,MHRIL,MINDACORP,MMTC,MOTHERSO,MOTILALOF,MPHASI,MRF,MRPL,MSUMI,MTARTECH,MUTHOOTFI,NAM-INDIA,NATCOPHARM,NATIONALUM,NAUKRI,NAVINFLUOR,NBCC,NCC,NESTLEIND,NETWORK18,NH,NHPC,NIACL,NLCINDIA,NMDC,NSLNISP,NTPC,NUVAMA,NUVOCO,NYKAA,OBEROIRLTY,OF,OIL,OLECTRA,ONGC,PAGEIND,PATANJALI,PAYTM,PCBL,PEL,PERSISTENT,PETRONET,PFC,PGHH,PHOENIXLTD,PIDILITIND,PIIND,PNB,PNBHOUSING,PNCINFRA,POLICYBZR,POLYCAB,POLYMED,POONAWALLA,POWERGRID,POWERINDIA,PPLPHARMA,PRAJIND,PRESTIGE,PRINCEPIPE,PRSMJOH,PVRINOX,QUE,RADICO,RAILTEL,RAINBOW,RAJESHEXPO,RAMCOCEM,RATNAMANI,RAYMOND,RBA,RBLBANK,RCF,RECLTD,REDINGTO,RELIANCE,RENUKA,RHIM,RITE,RKFORGE,ROUTE,RRKABEL,RTNINDIA,RVNL,SAFARI,SAIL,SANOFI,SAPPHIRE,SAREGAMA,SBFC,SBICARD,SBILIFE,SBI,SCHAEFFLER,SCHNEIDER,SHREECEM,SHRIRAMFI,SHYAMMETL,SIEME,SIGNATURE,SJV,SKFINDIA,SOBHA,SOLARIND,SONACOM,SONATSOFTW,SPARC,SRF,STARHEALTH,STLTECH,SUMICHEM,SUNDARMFI,SUNDRMFAST,SUNPHARMA,SUNTECK,SUNTV,SUPREMEIND,SUVENPHAR,SUZLO,SWANENERGY,SWSOLAR,SYNGENE,SYRMA,TANLA,TATACHEM,TATACOMM,TATACONSUM,TATAELXSI,TATAINVEST,TATAMOTOR,TATAMTRDVR,TATAPOWER,TATASTEEL,TATATECH,TC,TECHM,TEJASNET,THERMAX,TIINDIA,TIMKE,TITAGARH,TITA,TMB,TORNTPHARM,TORNTPOWER,TRENT,TRIDENT,TRITURBINE,TRIVENI,TTML,TV18BRDCST,TVSMOTOR,TVSSC,UBL,UCOBANK,UJJIVANSFB,ULTRACEMCO,UNIONBANK,UNOMINDA,UPL,USHAMART,UTIAMC,VAIBHAVGBL,VARROC,VBL,VEDL,VGUARD,VIJAYA,VIPIND,VOLTA,VTL,WELCORP,WELSPUNLIV,WESTLIFE,WHIRLPOOL,WIPRO,YESBANK,ZEEL,ZENSARTECH,ZFCVINDIA,ZOMATO,ZYDUSLIFE
2023-04-19,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,2,1,2,0,0,1,0,0,0,1,2,0,1,0,0,0,2,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,2,0,2,1,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,2,2,2,0,1,0,0,2,0,0,0,0,0,2,1,2,0,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,2,0,1,0,1,1,1,2,2,0,0,0,0,2,2,2,0,0,0,0,1,0,0,2,2,1,2,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,2,0,2,2,1,0,0
2023-04-20,1,1,0,2,2,1,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,1,0,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,2,0,2,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,2,1,0,0,1,0,2,2,0,2,1,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,1,2,0,0,0,0,2,0,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,1,0,2,0,2,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,2,0,2,0,1,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,2,1,0,0,0,0,2,1,2,0,2,2,2,0,0
2023-04-21,2,2,0,2,2,1,2,2,2,2,2,0,2,0,0,0,0,0,2,2,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0,1,0,2,1,0,0,2,2,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,1,2,0,2,0,1,0,0,0,2,0,2,0,0,0,1,2,1,0,1,0,1,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,1,0,0,1,0,1,2,0,1,1,2,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,2,0,0,0,1,1,0,0,2,1,2,1,1,0,2,1,0,0,0,1,0,0,2,0,0,2,0,2,0,1,0,2,0,2,0,1,1,1,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,1,2,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,1,0,0,2,0,0,0,0,0,2,0,0,1,2,0,1,0,2,0,2,1,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2,2,0,0,2,2,0,0,0,2,0,2,1,0,1,0,0,0,0,2,0,2,0,0,0,0,2,1,0,0,1,1,0,1,0,2,2,2,0,1,0,0,0,2,1,0,0,2,0,1,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,2,0,1,2,0,1,2,0,2,1,2,0,0,2,0,1,1,0,1,0,2,0,0,0,0,1,2,0,2,1,1,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,1,0,1,2,0,2,2,1,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,2,1,0,2,2,1,0,0
2023-04-24,1,2,0,2,2,1,1,1,1,1,2,0,2,2,0,0,0,0,2,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,2,2,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,1,0,0,0,2,1,1,2,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,2,2,0,1,1,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,2,0,0,0,2,0,1,0,1,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,2,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,0,0,2,0,1,0,0,1,2,0,0,0,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,2,0,0,2,2,0,0,0,2,0,2,1,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,2,2,2,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,1,2,0,0,2,0,2,1,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,1,2,2,1,1,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,2,2,0,0,0
2023-04-25,1,2,0,2,1,1,0,1,0,0,2,0,1,1,0,0,0,0,2,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,2,2,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,1,0,0,0,1,2,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,2,2,0,2,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,2,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,2,1,2,0,0,0,0,0,1,0,0,0,2,2,2,1,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,1,2,0,0,2,2,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,1,1,0,1,0,2,2,2,0,1,1,0,0,2,2,0,0,1,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,2,0,2,0,2,0,0,1,0,0,1,0,2,0,2,0,0,0,1,2,0,1,2,0,1,0,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,2,2,0,0,0
2023-04-26,2,2,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,1,2,2,2,2,1,2,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,2,1,0,0,2,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,1,0,1,0,2,2,0,0,0,2,0,0,2,2,0,0,1,0,0,1,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,1,2,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,2,2,0,0,1,0,2,0,2,0,0,0,0,0,1,0,2,0,2,0,0,1,0,2,1,0,2,0,1,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,2,0,2,2,2,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,2,2,0,0,0
2023-04-27,1,2,0,2,0,1,0,2,0,0,2,0,0,1,0,0,0,2,2,2,0,0,1,2,1,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,2,1,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,2,2,0,0,1,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,2,1,0,2,0,0,0,0,2,0,2,2,0,0,0,0
2023-04-28,0,2,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,2,0,2,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,2,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,2,0,2,0,0,0,0,2,0,1,2,0,1,0,0
2023-05-02,1,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,2,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0
2023-05-03,1,1,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,1,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,2,0,0,0,0
